
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla-population","etla-hierarchy","tlac-population","tlac-hierarchy","ocot-population","ocot-hierarchy"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","20","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","21","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","22","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","23","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","24","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","25","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","26","2.5714285714285716","0.25","0.6428571428571429","21","10","2.4","7","2.5714285714285716","4","3"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.619047619047619","0.21428571428571427","0.7142857142857143","21","12","3.1666666666666665","6","2.1666666666666665","3","1.3333333333333333"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.619047619047619","0.21428571428571427","0.7142857142857143","21","12","3.1666666666666665","6","2.1666666666666665","3","1.3333333333333333"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","2.4166666666666665","0.22916666666666666","0.6875","24","15","2.7333333333333334","6","2.1666666666666665","3","1.3333333333333333"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.565217391304348","0.21739130434782608","0.6739130434782609","23","12","1.6666666666666667","5","1.6","6","1.3333333333333333"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.9259259259259258","0.25","0.6203703703703703","27","14","2.2142857142857144","3","1.3333333333333333","10","1.7"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.12","0.25","0.62","25","14","2.0714285714285716","6","1.5","5","3"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","1.9","0.25","0.65","30","14","1.9285714285714286","7","1.5714285714285714","9","2.111111111111111"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2","0.25","0.6203703703703703","27","14","2.2857142857142856","3","1.3333333333333333","10","1.8"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","4","2.357142857142857","0.24107142857142858","0.6785714285714286","28","14","2.357142857142857","10","2.3","4","2.5"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.619047619047619","0.2261904761904762","0.6666666666666666","21","7","3.142857142857143","9","2.6666666666666665","5","1.8"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.619047619047619","0.2261904761904762","0.6666666666666666","21","7","3.142857142857143","9","2.6666666666666665","5","1.8"
"6","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","27","2.857142857142857","0.25","0.6428571428571429","21","10","3","7","2.5714285714285716","4","3"
"11","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","0","0","0","0","21","0","0","0","0","0","0"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.619047619047619","0.21428571428571427","0.6666666666666666","21","7","3.142857142857143","8","2.875","6","1.6666666666666667"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","1.7826086956521738","0.22826086956521738","0.6739130434782609","23","12","1.6666666666666667","5","1.6","6","2.1666666666666665"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","10","2.6666666666666665","0.22916666666666666","0.6770833333333334","24","13","3.1538461538461537","7","2.4285714285714284","4","1.5"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","11","2.6666666666666665","0.22916666666666666","0.6770833333333334","24","13","3.1538461538461537","7","2.4285714285714284","4","1.5"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.0303030303030303","0.24242424242424243","0.6136363636363636","33","19","2","3","1","11","2.3636363636363638"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.28","0.25","0.62","25","14","2.4285714285714284","7","1.7142857142857142","4","2.75"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","12","2.3666666666666667","0.24166666666666667","0.675","30","15","2.8666666666666667","9","2.111111111111111","6","1.5"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.193548387096774","0.25","0.6612903225806451","31","10","2.6","9","1.7777777777777777","12","2.1666666666666665"
"11","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","1","1.1428571428571428","0.23809523809523808","0.6547619047619048","21","9","1.1111111111111112","5","1.2","7","1.1428571428571428"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","10","2.892857142857143","0.25","0.625","28","17","3.0588235294117645","3","3.3333333333333335","8","2.375"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2","0.22826086956521738","0.6847826086956522","23","12","2.0833333333333335","5","1.6","6","2.1666666666666665"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","11","2.9642857142857144","0.25","0.625","28","17","3.1176470588235294","3","3.6666666666666665","8","2.375"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","7","2.217391304347826","0.22826086956521738","0.6847826086956522","23","12","2.3333333333333335","5","2","6","2.1666666666666665"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.6333333333333333","0.25","0.65","30","14","2.9285714285714284","7","1.8571428571428572","9","2.7777777777777777"
"11","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","2","1.380952380952381","0.23809523809523808","0.6309523809523809","21","10","1.2","4","1.5","7","1.5714285714285714"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","13","2.433333333333333","0.24166666666666667","0.6833333333333333","30","16","2.8125","9","2.2222222222222223","5","1.6"
"2","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","1.84375","0.2421875","0.6171875","32","18","1.8888888888888888","4","1","10","2.1"
"7","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","14","2.466666666666667","0.24166666666666667","0.6833333333333333","30","16","2.875","9","2.2222222222222223","5","1.6"
